"CYYJ","2011-01-02 17:00","CYYJ 021700Z 27005KT 30SM SCT013 SCT040 M03/M04 A3026 RMK CF3SC1 FROIN SLP247"
"CYYJ","2011-01-02 18:00","CYYJ 021800Z 28006KT 30SM SCT014 SCT030 M00/M02 A3026 RMK SC3SC1 FROIN SLP249"
"CYYJ","2011-01-02 19:00","CYYJ 021900Z 27007KT 30SM FEW016 FEW030 01/M03 A3026 RMK SC1SC1 SLP249"
"CYYJ","2011-01-02 20:00","CYYJ 022000Z 27006KT 30SM FEW035 02/M02 A3025 RMK SC2 SLP245"
"CYYJ","2011-01-02 21:00","CYYJ 022100Z 29005KT 30SM FEW030 03/M01 A3024 RMK SC1 SLP240"
"CYYJ","2011-01-02 22:00","CYYJ 022200Z 28005KT 30SM FEW035 03/M01 A3022 RMK SC1 SLP234"
"CYYJ","2011-01-02 23:00","CYYJ 022300Z 28003KT 30SM FEW035 04/M02 A3022 RMK SC1 SLP233"
"CYYJ","2011-01-03 00:00","CYYJ 030000Z 18002KT 30SM FEW030 02/M02 A3022 RMK SC1 SLP234"
"CYYJ","2011-01-03 01:00","CYYJ 030100Z 23003KT 30SM SKC M01/M03 A3022 RMK SLP235"
"CYYJ","2011-01-03 02:00","CYYJ 030200Z 27003KT 30SM SKC M02/M03 A3022 RMK SLP234"
"CYYJ","2011-01-03 03:00","CYYJ 030300Z 27002KT 30SM SKC M03/M04 A3023 RMK SLP237"
"CYYJ","2011-01-03 04:00","CYYJ 030400Z 25002KT 30SM SKC M03/M03 A3023 RMK SLP238"
"CYYJ","2011-01-03 05:00","CYYJ 030500Z 26004KT 30SM SKC M03/M04 A3024 RMK SLP240"
"CYYJ","2011-01-03 06:00","CYYJ 030600Z 26005KT 20SM SKC M03/M04 A3023 RMK FROIN SLP237"
"CYYJ","2011-01-03 07:00","CYYJ 030700Z 28007KT 20SM SKC M02/M03 A3023 RMK FROIN SLP238"
"CYYJ","2011-01-03 08:00","CYYJ 030800Z 28005KT 30SM FEW015 M02/M04 A3023 RMK SF1 SLP238"
"CYYJ","2011-01-03 09:00","CYYJ 030900Z 30005KT 30SM FEW012 M02/M03 A3023 RMK SF1 FROIN SLP238"
"CYYJ","2011-01-03 10:00","CYYJ 031000Z 28004KT 30SM FEW012 M02/M03 A3024 RMK SF1 FROIN SLP242"
"CYYJ","2011-01-03 11:00","CYYJ 031100Z 28006KT 30SM FEW012 M02/M03 A3025 RMK SC1 FROIN SLP245"
"CYYJ","2011-01-03 12:00","CYYJ 031200Z 29005KT 15SM FEW012 M04/M05 A3025 RMK SC1 FROIN SLP244"
"CYYJ","2011-01-03 13:00","CYYJ 031300Z 28005KT 15SM SCT012 M04/M05 A3024 RMK SC4 FROIN SLP242"
"CYYJ","2011-01-03 14:00","CYYJ 031400Z 30004KT 15SM BKN013 M02/M03 A3025 RMK SC5 SLP244"
"CYYJ","2011-01-03 15:00","CYYJ 031500Z 26004KT 15SM FEW013 M04/M05 A3024 RMK SC2 FROIN SLP242"
"CYYJ","2011-01-03 15:46","CYYJ 031546Z 25003KT 15SM BKN013 BKN220 M04/ RMK SC5CI1"
"CYYJ","2011-01-03 16:00","CYYJ 031600Z 27005KT 15SM BKN012 BKN220 M03/M04 A3024 RMK SC6CI1 FROIN SLP241"
"CYYJ","2011-01-03 16:19","CYYJ 031619Z 24005KT 30SM SCT012 BKN220 M03/ RMK SC3CI1"
"CYYJ","2011-01-03 17:00","CYYJ 031700Z 23004KT 30SM FEW012 SCT220 M02/M04 A3023 RMK SC1CI2 FROIN SLP237"
